"GMEL_year2015_layers1_emb128_multitask(0.5, 0.25, 0.25)",4.871221171210278,1.7342809233412855,0.6891709222736393,0.7426056686927304,0.9997460261372232
"GMEL_year2015_layers0_emb128_multitask(0.5, 0.25, 0.25)",5.310831359040453,1.9174922199289874,0.7586245887113134,0.7155249259028766,1.0
"GMEL_year2015_layers2_emb128_multitask(0.5, 0.25, 0.25)",4.872634436065552,1.736503874795844,0.6944670863248319,0.7424005209765433,0.9994504811741478
"GMEL_year2015_layers3_emb128_multitask(0.5, 0.25, 0.25)",4.835897917044131,1.7209267091598612,0.6880161090508856,0.7446775044956355,0.9988837620534358
"GMEL_year2015_layers1_emb32_multitask(0.5, 0.25, 0.25)",5.25606095646057,1.871832817717283,0.7351194443473893,0.7222602031715302,0.9999558398975485
"GMEL_year2015_layers1_emb64_multitask(0.5, 0.25, 0.25)",4.918201814153677,1.763842567231851,0.7023359828206543,0.7382965744844617,0.9995499363560307
"GMEL_year2015_layers1_emb256_multitask(0.5, 0.25, 0.25)",4.878745048726112,1.746255764475976,0.7004308450372521,0.7409711579674119,0.9995416491793864
"GMEL_year2015_layers1_emb128_multitask(0.33, 0.33, 0.33)",4.884110552790482,1.7451846233605233,0.6976985291013805,0.7409930663127708,0.9996659424150983
"GMEL_year2015_layers1_emb128_multitask(0.66, 0.165, 0.165)",4.8984922717515245,1.7501087476045907,0.7000840220007674,0.7402810838039283,0.9998371402939755
"GMEL_year2015_layers1_emb128_multitask(0.75, 0.125, 0.125)",5.097223080231847,1.810319297736675,0.7136167520006707,0.7313833743715786,1.0
"GMEL_year2015_layers1_emb128_multitask(1, 0, 0)",5.841911949091738,2.1597353535641384,0.8949388992304712,0.6797837563903701,0.9998426618305882
